ProductId,Positivescore,NegativeScore,AVGrating,Rating
 B000IBT1A6,5,0,5,5
 B0000VRY1C,1,0,1,1
 B000EVT0CO,5,4,1,1
 B000EVS4XK,1,1,5,5
 B000EVS4XK,4,0,5,5
 B000EVS4XK,2,0,5,5
 B0002UPI32,3,1,3,3
 B000FIRI1G,4,1,5,5
 B000FIRI1G,7,3,5,5
 B0006SE2SM,2,0,4,5
 B0006SE2SM,3,0,4,3
 B000FIRI20,2,0,5,5
 B000FIRI20,4,1,5,5
 B000HWS1AW,4,1,5,5
 B000O3KHWE,4,1,5,5
 B000EDH1KA,2,3,3,3
 B000IBT1EC,4,0,5,5
 B000FIQMHM,1,0,3,3
 B000FIQMHM,6,2,3,3
 B000I0M1VI,1,0,3,3
 B000FIQMHW,5,0,5,5
 B000O3KHX8,4,2,5,5
 B000O3KHX8,5,0,5,5
 B000PH4Q0S,3,1,5,5
 B000LB6Y9E,2,0,5,5
 B000CS15R2,3,0,5,5
 B000CS15R2,2,0,5,5
 B000BIUC3G,3,1,4,4
 B000O3KHYM,2,0,4,3
 B000O3KHYM,4,1,4,5
 B000HM9Q06,4,0,5,5
 B000BIUC40,0,1,1,1
 B000B6H3E4,2,3,3,3
 B000EVT0IS,6,1,4,4
 B000EDRVO6,3,1,5,5
 B000LD3U1M,2,0,5,5
 B0009VPSWA,5,1,5,5
 B000KBC90S,1,1,5,5
 B000A3V1NW,1,2,2,2
 B000NGJ3O0,4,0,3.6,5
 B000NGJ3O0,3,0,3.6,5
 B000NGJ3O0,4,2,3.6,3
 B000NGJ3O0,3,1,3.6,5
 B000NGJ3O0,2,1,3.6,1
 B000NGJ3O0,3,4,3.6,2
 B000NGJ3O0,2,2,3.6,1
 B000NGJ3O0,7,3,3.6,5
 B000NGJ3O0,3,2,3.6,4
 B000NGJ3O0,4,0,3.6,5
 B000FIRI84,2,0,5,5
 B000FIRI84,7,2,5,5
 B000FJ1IR0,2,0,5,5
 B000KBC93K,2,1,3,3
 B0000WMHQI,6,0,5,5
 B0000WMHQI,3,1,5,5
 B0000WMHQ8,6,0,5,5
 B0000WMHQ8,3,1,5,5
 B0000WMHRC,6,0,5,5
 B0000WMHRC,3,1,5,5
 B0000WMHRW,6,0,5,5
 B0000WMHRW,3,1,5,5
 B0000WMHR2,6,0,5,5
 B0000WMHR2,3,1,5,5
 B000KM6ESU,3,0,5,5
 B0000WMHSQ,6,0,5,5
 B0000WMHSQ,3,1,5,5
 B0000WMHSG,6,0,5,5
 B0000WMHSG,3,1,5,5
 B0000WMHS6,6,0,5,5
 B0000WMHS6,3,1,5,5
 B000NGJ3UO,3,1,3.97,4
 B000NGJ3UO,2,0,3.97,4
 B000NGJ3UO,2,0,3.97,5
 B000NGJ3UO,1,3,3.97,1
 B000NGJ3UO,6,1,3.97,4
 B000NGJ3UO,3,1,3.97,3
 B000NGJ3UO,14,5,3.97,4
 B000NGJ3UO,3,0,3.97,5
 B000NGJ3UO,4,0,3.97,5
 B000NGJ3UO,8,0,3.97,5
 B000NGJ3UO,8,0,3.97,5
 B000NGJ3UO,3,3,3.97,5
 B000NGJ3UO,7,1,3.97,5
 B000NGJ3UO,11,6,3.97,5
 B000NGJ3UO,4,1,3.97,4
 B000NGJ3UO,5,1,3.97,4
 B000NGJ3UO,3,1,3.97,5
 B000NGJ3UO,4,0,3.97,5
 B000NGJ3UO,0,1,3.97,5
 B000NGJ3UO,2,1,3.97,4
 B000NGJ3UO,8,0,3.97,5
 B000NGJ3UO,1,7,3.97,4
 B000NGJ3UO,1,0,3.97,5
 B000NGJ3UO,4,2,3.97,4
 B000NGJ3UO,3,0,3.97,4
 B000NGJ3UO,5,0,3.97,5
 B000NGJ3UO,5,4,3.97,5
 B000NGJ3UO,2,0,3.97,5
 B000NGJ3UO,2,2,3.97,2
 B000NGJ3UO,5,1,3.97,5
 B000NGJ3UO,7,0,3.97,3
 B000NGJ3UO,3,1,3.97,3
 B000NGJ3UO,6,1,3.97,5
 B000NGJ3UO,4,0,3.97,5
 B000NGJ3UO,4,0,3.97,4
 B000NGJ3UO,6,1,3.97,5
 B000NGJ3UO,6,0,3.97,5
 B000NGJ3UO,2,0,3.97,5
 B000NGJ3UO,2,1,3.97,2
 B000NGJ3UO,4,3,3.97,5
 B000NGJ3UO,4,1,3.97,2
 B000NGJ3UO,2,0,3.97,4
 B000NGJ3UO,3,0,3.97,4
 B000NGJ3UO,3,0,3.97,5
 B000NGJ3UO,1,0,3.97,5
 B000NGJ3UO,7,0,3.97,4
 B000NGJ3UO,1,1,3.97,3
 B000NGJ3UO,3,2,3.97,5
 B000NGJ3UO,1,0,3.97,5
 B000NGJ3UO,3,1,3.97,5
 B000NGJ3UO,2,0,3.97,5
 B000NGJ3UO,4,0,3.97,5
 B000NGJ3UO,1,0,3.97,4
 B000NGJ3UO,6,2,3.97,3
 B000NGJ3UO,3,0,3.97,5
 B000NGJ3UO,10,1,3.97,5
 B000NGJ3UO,6,0,3.97,5
 B000NGJ3UO,9,1,3.97,5
 B000NGJ3UO,3,1,3.97,1
 B000NGJ3UO,10,5,3.97,3
 B000NGJ3UO,8,2,3.97,4
 B000NGJ3UO,2,1,3.97,3
 B000NGJ3UO,5,0,3.97,1
 B000NGJ3UO,2,1,3.97,5
 B000NGJ3UO,3,0,3.97,5
 B000NGJ3UO,5,0,3.97,5
 B000NGJ3UO,3,0,3.97,4
 B000NGJ3UO,4,1,3.97,4
 B000NGJ3UO,3,1,3.97,4
 B000NGJ3UO,2,0,3.97,1
 B000NGJ3UO,3,3,3.97,2
 B000NGJ3UO,4,5,3.97,2
 B000NGJ3UO,2,0,3.97,1
 B000NGJ3UO,4,0,3.97,1
 B000NGJ3UO,3,1,3.97,1
 B000NGJ3UO,3,1,3.97,1
 B000NGJ3UO,2,1,3.97,1
 B000NGJ3UO,4,0,3.97,4
 B000NGJ3UO,3,0,3.97,5
 B000NGJ3UO,2,1,3.97,5
 B000NGJ3UO,5,1,3.97,5
 B000NGJ3UO,6,0,3.97,5
 B000NGJ3UO,4,2,3.97,5
 B000NGJ3UO,1,1,3.97,2
 B000NGJ3UO,1,0,3.97,5
 B000NGJ3UO,3,0,3.97,4
 B000NGJ3UO,4,0,3.97,4
 B000NGJ3UO,3,0,3.97,5
 B000NGJ3UO,2,0,3.97,5
 B000NGJ3UO,4,2,3.97,4
 B000NGJ3UO,2,1,3.97,2
 B000NGJ3UO,4,1,3.97,5
 B000NGJ3UO,0,2,3.97,1
 B000NGJ3UO,1,2,3.97,3
 B000NGJ3UO,4,0,3.97,5
 B000NGJ3UO,4,0,3.97,5
 B000NGJ3UO,2,0,3.97,5
 B000BLMU0G,3,0,5,5
 B0000WMHT0,6,0,5,5
 B0000WMHT0,3,1,5,5
 B000MNLKFY,1,1,4,4
 B0007UW8VC,3,0,3,3
 B000IBT1RE,5,0,4,4
 B000KFKYEW,12,0,4,4
 B000KFKYF6,0,2,1,1
 B000FIRIAC,0,2,2,2
 B000LB6YHQ,6,0,4.67,5
 B000LB6YHQ,4,0,4.67,5
 B000LB6YHQ,2,0,4.67,4
 B000NI2778,3,0,5,5
 B000NI2778,3,0,5,5
 B000GBUWJW,11,2,3.67,5
 B000GBUWJW,1,1,3.67,1
 B000GBUWJW,5,0,3.67,5
 B000OUXI2S,2,0,5,5
 B000LB6YJY,1,2,4.5,4
 B000LB6YJY,8,1,4.5,5
 B000LB6YJY,3,0,4.5,4
 B000LB6YJY,0,2,4.5,5
 B000LD3UAS,2,0,5,5
 B000MQJ1PC,6,0,5,5
 B000LD3UBC,2,0,5,5
 B000JVERTU,2,0,4,4
 B000AWGFVQ,5,3,4,4
 B000AWGFVQ,2,0,4,4
 B000MQJ1R0,2,2,4,3
 B000MQJ1R0,4,0,4,5
 B000MQJ1R0,6,1,4,4
 B0004K5CD6,4,0,4,4
 B000BY93DU,3,2,4.5,5
 B000BY93DU,2,0,4.5,4
 B000AWGFW0,5,0,3.6,4
 B000AWGFW0,2,1,3.6,5
 B000AWGFW0,2,0,3.6,4
 B000AWGFW0,2,1,3.6,4
 B000AWGFW0,3,1,3.6,3
 B000AWGFW0,5,0,3.6,4
 B000AWGFW0,2,1,3.6,4
 B000AWGFW0,0,1,3.6,1
 B000NJY5F4,2,9,1.5,1
 B000NJY5F4,4,4,1.5,2
 B000LB6YO4,0,2,1,1
 B000MQJ1SO,4,0,5,5
 B000MQJ1S4,12,1,5,5
 B000AWGFWA,2,0,3.67,5
 B000AWGFWA,2,1,3.67,4
 B000AWGFWA,1,2,3.67,2
 B000NJY5G8,6,2,4.2,4
 B000NJY5G8,2,1,4.2,5
 B000NJY5G8,3,3,4.2,3
 B000NJY5G8,2,0,4.2,5
 B0006V4B3K,0,2,1,1
 B000F22F6A,3,1,4.62,5
 B000F22F6A,9,0,4.62,5
 B000F22F6A,7,0,4.62,5
 B000F22F6A,13,0,4.62,5
 B000F22F6A,6,0,4.62,5
 B000F22F6A,6,1,4.62,5
 B000F22F6A,1,0,4.62,5
 B000F22F6A,4,0,4.62,5
 B000F22F6A,2,1,4.62,5
 B000F22F6A,2,3,4.62,2
 B000F22F6A,9,1,4.62,4
 B000F22F6A,2,0,4.62,5
 B000F22F6A,4,0,4.62,4
 B000F22F6A,1,2,4.62,2
 B000F22F6A,2,0,4.62,5
 B000F22F6A,2,0,4.62,5
 B000F22F6A,2,1,4.62,5
 B000F22F6A,6,1,4.62,5
 B000F22F6A,3,3,4.62,4
 B000F22F6A,4,1,4.62,5
 B000F22F6A,0,2,4.62,2
 B000F22F6A,2,1,4.62,5
 B000F22F6A,7,2,4.62,5
 B000F22F6A,5,0,4.62,5
 B000F22F6A,5,3,4.62,5
 B000F22F6A,5,0,4.62,4
 B000F22F6A,4,0,4.62,5
 B000F22F6A,4,0,4.62,5
 B000F22F6A,2,1,4.62,5
 B000F22F6A,4,0,4.62,5
 B000F22F6A,2,0,4.62,5
 B000F22F6A,5,0,4.62,5
 B000F22F6A,2,0,4.62,5
 B000F22F6A,o,o,o,o
